Name,WHO Region,cumulativetotal,cumulativetotalper100000,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,casesnew24h,cumulativedeathstotal,deathsper100000,deathsnew7total,Deaths - newly reported in last 7 days per 100000 population,deathsnew24h,Transmission Classification
USA,Americas,31708445,9579.51,396504,119.79,51809,566540,171.16,4924,1.49,731,Community transmission
India,South-East Asia,17313163,1254.57,2251244,163.13,352991,195123,14.14,16354,1.19,2812,Clusters of cases
Brazil,Americas,14308215,6731.4,408124,192,71137,389492,183.24,17814,8.38,3076,Community transmission
France,Europe,5390187,8287.58,211674,325.46,32500,102031,156.88,2110,3.24,187,Community transmission
Russia,Europe,4762569,3263.5,60468,41.44,8780,108232,74.16,2650,1.82,332,Clusters of cases
Turkey,Europe,4591416,5444,378771,449.11,40596,38011,45.07,2403,2.85,339,Community transmission
England,Europe,4403174,6486.13,17232,25.38,2061,127417,187.69,157,0.23,32,Community transmission
Italy,Europe,3949517,6622.1,92074,154.38,13814,119021,199.56,2345,3.93,322,Clusters of cases
Spain,Europe,3456886,7303.39,32476,68.61,0,77496,163.73,214,0.45,0,Community transmission
Germany,Europe,3287418,3952.81,145156,174.54,18773,81564,98.07,1650,1.98,120,Community transmission
Argentina,Americas,2845872,6296.77,168125,371.99,21220,61474,136.02,2310,5.11,298,Community transmission
Poland,Europe,2758856,7268.15,70831,186.6,7224,65415,172.33,3383,8.91,193,Community transmission
Colombia,Americas,2757274,5418.86,121198,238.19,16730,70886,139.31,2955,5.81,440,Community transmission
Iran,Eastern Mediterranean,2396204,2852.86,159115,189.44,19165,69574,82.83,2842,3.38,454,Community transmission
Mexico,Americas,2326738,1804.61,21832,16.93,3308,214853,166.64,2625,2.04,349,Community transmission
Ukraine,Europe,2025271,4630.91,78761,180.09,7930,42323,96.77,2537,5.8,231,Community transmission
Peru,Americas,1754150,5320.14,56524,171.43,8495,59440,180.27,2643,8.02,428,Community transmission
Indonesia,South-East Asia,1641194,600.02,36846,13.47,4402,44594,16.3,1170,0.43,94,Community transmission
Czech Republic,Europe,1618076,15130.78,17729,165.79,8,28946,270.68,520,4.86,26,Community transmission
South Africa,Africa,1574370,2654.54,8690,14.65,1385,54125,91.26,414,0.7,59,Community transmission
Netherlands,Europe,1453124,8347.65,58037,333.4,8123,17038,97.88,135,0.78,22,Community transmission
Canada,Americas,1172004,3105.29,58097,153.93,7423,23927,63.4,336,0.89,44,Community transmission
Chile,Americas,1169536,6118.04,44818,234.45,6725,25856,135.26,679,3.55,114,Community transmission
Romania,Europe,1044722,5404.99,17683,91.49,2201,27267,141.07,1195,6.18,154,Community transmission
Iraq,Eastern Mediterranean,1031322,2564.04,54147,134.62,6034,15257,37.93,276,0.69,40,Community transmission
Philippines,Western Pacific,997523,910.31,61406,56.04,8124,16783,15.32,823,0.75,109,Community transmission
Belgium,Europe,972041,8436.07,20710,179.74,0,23990,208.2,239,2.07,0,Community transmission
Sweden,Europe,938343,9085.79,31748,307.41,0,13923,134.81,31,0.3,0,Community transmission
Israel,Europe,837974,9681.36,1077,12.44,82,6350,73.36,20,0.23,4,Community transmission
Portugal,Europe,833964,8099.96,3404,33.06,567,16959,164.72,17,0.17,2,Clusters of cases
Pakistan,Eastern Mediterranean,795627,360.19,39342,17.81,5611,17117,7.75,874,0.4,118,Community transmission
Hungary,Europe,769518,7876.72,19010,194.58,2328,26625,272.53,1441,14.75,205,Community transmission
Bangladesh,South-East Asia,745322,452.56,26372,16.01,2922,11053,6.71,668,0.41,101,Community transmission
Jordan,Eastern Mediterranean,702154,6881.75,16181,158.59,1731,8615,84.43,369,3.62,52,Community transmission
Serbia,Europe,677972,9787.8,17673,255.14,2068,6196,89.45,242,3.49,32,Community transmission
Switzerland,Europe,643562,7436.05,9750,112.66,0,9899,114.38,28,0.32,0,Community transmission
Austria,Europe,603419,6779.18,15318,172.09,2231,9821,110.34,205,2.3,15,Community transmission
Japan,Western Pacific,566863,448.2,32811,25.94,4722,9972,7.88,331,0.26,59,Clusters of cases
Lebanon,Eastern Mediterranean,520939,7632.31,10536,154.36,1324,7142,104.64,217,3.18,26,Community transmission
United Arab Emirates,Eastern Mediterranean,510738,5163.98,13584,137.35,1813,1571,15.88,17,0.17,2,Clusters of cases
Morocco,Eastern Mediterranean,509363,1379.99,3552,9.62,326,8992,24.36,47,0.13,4,Community transmission
Saudi Arabia,Eastern Mediterranean,412216,1184.06,7246,20.81,953,6900,19.82,77,0.22,13,Community transmission
Bulgaria,Europe,397100,5712.45,11137,160.21,798,15859,228.14,721,10.37,33,Clusters of cases
Malaysia,Western Pacific,392942,1214.06,17888,55.27,2690,1436,4.44,58,0.18,10,Community transmission
Slovakia,Europe,379911,6960.79,3937,72.13,435,11495,210.61,389,7.13,37,Clusters of cases
Ecuador,Americas,373362,2116.2,12816,72.64,608,18177,103.03,474,2.69,19,Community transmission
Panama,Americas,362696,8405.92,2099,48.65,338,6207,143.85,20,0.46,7,Community transmission
Kazakhstan,Europe,352988,1879.92,11389,60.65,0,4157,22.14,0,0,0,Clusters of cases
Belarus,Europe,350221,3706.31,7298,77.23,0,2473,26.17,60,0.63,0,Community transmission
Greece,Europe,331730,3094.91,18286,170.6,2596,9950,92.83,553,5.16,86,Community transmission
Croatia,Europe,323901,7981.46,16111,397,2529,6861,169.07,299,7.37,46,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,319813,6269.1,10246,200.85,713,3435,67.33,150,2.94,16,Community transmission
Azerbaijan,Europe,311465,3071.9,12943,127.65,1676,4342,42.82,235,2.32,35,Clusters of cases
Georgia,Europe,303751,7614.38,8393,210.39,966,4025,100.9,86,2.16,18,Community transmission
Tunisia,Eastern Mediterranean,300342,2541.26,14852,125.67,1770,10304,87.18,521,4.41,73,Community transmission
Nepal,South-East Asia,300119,1030.03,15446,53.01,3032,3164,10.86,81,0.28,28,Clusters of cases
Bolivia,Americas,297185,2545.91,8640,74.02,1293,12812,109.76,178,1.52,29,Community transmission
